ms,features,map,requested_nm,commanded_nm,limit_nm,fuel_multiplier,ethanol_filtered,dtcs,limp,launch,shift
5980,15,2,341.66666,80.00000,80.00000,1.49767,84.98013,0,0,1,0
6000,15,2,341.66666,82.00000,350.00000,1.49768,84.98090,0,0,0,0
6020,15,2,341.66666,84.00000,350.00000,1.49769,84.98163,0,0,0,0
6040,15,2,341.66666,86.00000,350.00000,1.49769,84.98234,0,0,0,0
6060,15,2,341.66666,88.00000,350.00000,1.49770,84.98302,0,0,0,0
6080,15,2,341.66666,90.00000,350.00000,1.49770,84.98367,0,0,0,0
6100,15,2,341.66666,92.00000,350.00000,1.49771,84.98430,0,0,0,0
6120,15,2,341.66666,94.00000,350.00000,1.49771,84.98490,0,0,0,0
6140,15,2,341.66666,96.00000,350.00000,1.49772,84.98548,0,0,0,0
6160,15,2,341.66666,98.00000,350.00000,1.49772,84.98604,0,0,0,0
6180,15,2,341.66666,100.00000,350.00000,1.49773,84.98657,0,0,0,0
6200,15,2,341.66666,102.00000,350.00000,1.49773,84.98709,0,0,0,0
6220,15,2,341.66666,104.00000,350.00000,1.49774,84.98759,0,0,0,0
6240,15,2,341.66666,106.00000,350.00000,1.49774,84.98807,0,0,0,0
6260,15,2,341.66666,108.00000,350.00000,1.49774,84.98853,0,0,0,0
6280,15,2,341.66666,110.00000,350.00000,1.49775,84.98897,0,0,0,0
6300,15,2,341.66666,112.00000,350.00000,1.49775,84.98940,0,0,0,0
6320,15,2,341.66666,114.00000,350.00000,1.49776,84.98980,0,0,0,0
6340,15,2,341.66666,116.00000,350.00000,1.49776,84.99019,0,0,0,0
6360,15,2,341.66666,118.00000,350.00000,1.49776,84.99056,0,0,0,0
6380,15,2,341.66666,120.00000,350.00000,1.49776,84.99093,0,0,0,0
6400,15,2,341.66666,122.00000,350.00000,1.49777,84.99128,0,0,0,0
6420,15,2,341.66666,124.00000,350.00000,1.49777,84.99162,0,0,0,0
